id;destination;passanger;weather;temperature;time;coupon;expiration;gender;age;maritalStatus;has_children;education;occupation;income;Bar;CoffeeHouse;CarryAway;RestaurantLessThan20;Restaurant20To50;toCoupon_GEQ5min;toCoupon_GEQ15min;toCoupon_GEQ25min;direction_same;direction_opp;Y
1149;Work;Alone;Snowy;30;7AM;Coffee House;1d;Female;36;Married partner;1;Some college - no degree;Unemployed;Less than $12500;never;never;4~8;less1;less1;1;0;0;1;0;1
1150;Work;Alone;Sunny;55;7AM;Coffee House;1d;Female;31;Single;0;Bachelors degree;Community & Social Services;$50000 - $62499;4~8;1~3;1~3;1~3;less1;1;1;0;0;1;1
1151;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Male;below21;Single;0;Some college - no degree;Student;$87500 - $99999;never;4~8;;4~8;less1;1;0;0;0;1;1
1152;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Male;26;Single;0;Associates degree;Unemployed;Less than $12500;less1;never;1~3;less1;less1;1;1;1;0;1;1
1153;Home;Alone;Sunny;55;6PM;Restaurant(20-50);2h;Female;50plus;Single;0;Graduate degree (Masters or Doctorate);Unemployed;Less than $12500;never;gt8;1~3;less1;less1;1;1;0;0;1;1
1154;No Urgent Place;Alone;Sunny;80;10PM;Restaurant(<20);1d;Female;21;Single;0;High School Graduate;Unemployed;Less than $12500;1~3;4~8;gt8;gt8;4~8;1;0;0;0;1;1
1155;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);2h;Male;41;Married partner;0;Graduate degree (Masters or Doctorate);Management;$100000 or More;less1;4~8;gt8;gt8;1~3;1;1;0;0;1;1
1156;Home;Alone;Sunny;80;6PM;Coffee House;2h;Male;21;Single;0;Bachelors degree;Student;$100000 or More;1~3;4~8;1~3;4~8;1~3;1;1;1;0;1;0
1157;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Male;31;Married partner;1;Graduate degree (Masters or Doctorate);Computer & Mathematical;$100000 or More;less1;1~3;4~8;4~8;4~8;1;1;0;0;1;1
1158;Work;Alone;Sunny;55;7AM;Bar;1d;Female;31;Single;0;High School Graduate;Healthcare Support;$25000 - $37499;never;1~3;1~3;1~3;1~3;1;1;1;0;1;1
1159;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);2h;Male;below21;Single;0;Some college - no degree;Student;$87500 - $99999;never;4~8;;4~8;less1;1;1;0;0;1;1
1160;No Urgent Place;Alone;Rainy;55;10AM;Coffee House;1d;Female;31;Married partner;1;Associates degree;Student;$87500 - $99999;never;4~8;4~8;less1;less1;1;1;0;0;1;1
1161;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Male;21;Single;0;Some college - no degree;Student;$50000 - $62499;never;4~8;4~8;1~3;less1;1;0;0;0;1;1
1162;No Urgent Place;Friend(s);Sunny;80;6PM;Coffee House;1d;Male;31;Unmarried partner;0;Some college - no degree;Sales & Related;$62500 - $74999;gt8;1~3;1~3;4~8;less1;1;0;0;0;1;1
1163;No Urgent Place;Partner;Sunny;80;6PM;Bar;1d;Male;41;Married partner;0;Graduate degree (Masters or Doctorate);Management;$100000 or More;less1;4~8;gt8;gt8;1~3;1;1;0;0;1;1
1164;Home;Partner;Rainy;55;6PM;Carry out & Take away;1d;Female;26;Married partner;0;Bachelors degree;Office & Administrative Support;$50000 - $62499;never;less1;1~3;1~3;never;1;0;0;1;0;1
1165;Work;Alone;Sunny;55;7AM;Restaurant(<20);1d;Male;26;Married partner;1;Bachelors degree;Computer & Mathematical;$25000 - $37499;less1;1~3;1~3;1~3;1~3;1;0;0;0;1;1
1166;Work;Alone;Snowy;30;7AM;Restaurant(20-50);1d;Male;26;Married partner;0;Bachelors degree;Education&Training&Library;$50000 - $62499;never;less1;1~3;1~3;1~3;1;1;1;0;1;1
1167;Home;Alone;Snowy;30;10PM;Restaurant(<20);2h;Male;31;Married partner;1;Bachelors degree;Computer & Mathematical;$62500 - $74999;never;less1;gt8;4~8;less1;1;1;1;0;1;0
1168;Work;Alone;Sunny;55;7AM;Coffee House;2h;Female;50plus;Married partner;1;Some college - no degree;Education&Training&Library;$25000 - $37499;never;less1;gt8;4~8;less1;1;1;1;0;1;0
1169;Work;Alone;Snowy;30;7AM;Restaurant(20-50);1d;Female;31;Married partner;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$12500 - $24999;never;1~3;less1;1~3;1~3;1;1;1;0;1;0
1170;Work;Alone;Sunny;30;7AM;Bar;1d;Female;50plus;Divorced;1;Some college - no degree;Unemployed;$37500 - $49999;never;never;4~8;1~3;less1;1;1;0;1;0;0
1171;No Urgent Place;Friend(s);Sunny;55;2PM;Coffee House;2h;Female;below21;Single;0;Some college - no degree;Student;$100000 or More;never;1~3;4~8;4~8;1~3;1;0;0;0;1;0
1172;No Urgent Place;Alone;Sunny;80;10AM;Restaurant(<20);2h;Male;below21;Single;0;Some college - no degree;Student;Less than $12500;never;gt8;gt8;gt8;less1;1;0;0;0;1;1
1173;Work;Alone;Sunny;55;7AM;Restaurant(<20);1d;Female;46;Single;1;Graduate degree (Masters or Doctorate);Management;$75000 - $87499;never;never;gt8;4~8;less1;1;0;0;0;1;1
1174;No Urgent Place;Partner;Sunny;80;10AM;Restaurant(20-50);1d;Female;26;Unmarried partner;0;Some college - no degree;Food Preparation & Serving Related;$25000 - $37499;less1;less1;1~3;less1;1~3;1;0;0;0;1;1
1175;No Urgent Place;Friend(s);Rainy;55;6PM;Restaurant(<20);2h;Female;21;Married partner;1;Associates degree;Unemployed;$50000 - $62499;never;1~3;1~3;1~3;less1;1;0;0;0;1;1
1176;No Urgent Place;Partner;Sunny;80;10AM;Restaurant(20-50);2h;Male;46;Married partner;1;Graduate degree (Masters or Doctorate);Retired;$50000 - $62499;never;never;less1;4~8;1~3;1;0;0;0;1;0
1177;Home;Alone;Sunny;80;6PM;Coffee House;1d;Male;36;Married partner;1;Graduate degree (Masters or Doctorate);Transportation & Material Moving;$87500 - $99999;less1;less1;less1;1~3;less1;1;0;0;0;1;0
1178;Home;Alone;Sunny;80;6PM;Coffee House;1d;Female;21;Married partner;0;Some college - no degree;Unemployed;$37500 - $49999;less1;less1;1~3;1~3;1~3;1;0;0;1;0;0
1179;No Urgent Place;Partner;Sunny;55;2PM;Bar;1d;Female;21;Married partner;0;Some college - no degree;Student;Less than $12500;less1;gt8;4~8;1~3;1~3;1;0;0;0;1;1
1180;No Urgent Place;Partner;Sunny;80;10PM;Restaurant(<20);1d;Male;26;Single;0;Bachelors degree;Food Preparation & Serving Related;$50000 - $62499;4~8;1~3;4~8;1~3;4~8;1;1;0;0;1;1
1181;Work;Alone;Snowy;30;7AM;Coffee House;1d;Male;31;Married partner;0;Bachelors degree;Sales & Related;$75000 - $87499;1~3;1~3;4~8;4~8;4~8;1;0;0;1;0;0
1182;No Urgent Place;Alone;Rainy;55;10AM;Coffee House;1d;Male;26;Unmarried partner;0;Associates degree;Management;$12500 - $24999;less1;less1;4~8;1~3;less1;1;1;0;0;1;1
1183;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);2h;Female;31;Single;0;Graduate degree (Masters or Doctorate);Legal;$75000 - $87499;gt8;4~8;4~8;4~8;4~8;1;0;0;0;1;0
1184;No Urgent Place;Partner;Sunny;30;10AM;Bar;1d;Male;21;Unmarried partner;0;High School Graduate;Sales & Related;$37500 - $49999;never;less1;4~8;4~8;less1;1;1;0;0;1;0
1185;Home;Alone;Sunny;80;6PM;Coffee House;2h;Female;26;Single;1;Associates degree;Healthcare Practitioners & Technical;$25000 - $37499;never;1~3;4~8;1~3;less1;1;0;0;0;1;1
1186;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Male;31;Married partner;1;Graduate degree (Masters or Doctorate);Management;$87500 - $99999;never;never;4~8;gt8;4~8;1;0;0;0;1;0
1187;No Urgent Place;Partner;Sunny;30;10AM;Bar;1d;Male;21;Unmarried partner;0;Some college - no degree;Sales & Related;$50000 - $62499;less1;never;1~3;4~8;1~3;1;1;0;0;1;1
1188;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);2h;Male;36;Married partner;0;Bachelors degree;Arts Design Entertainment Sports & Media;$100000 or More;less1;1~3;4~8;1~3;1~3;1;1;0;0;1;0
1189;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Female;26;Single;0;Graduate degree (Masters or Doctorate);Legal;$25000 - $37499;1~3;1~3;1~3;gt8;1~3;1;0;0;0;1;1
1190;Work;Alone;Rainy;55;7AM;Carry out & Take away;1d;Male;41;Married partner;1;Some college - no degree;Business & Financial;$100000 or More;less1;less1;1~3;1~3;less1;1;0;0;0;1;1
1191;No Urgent Place;Friend(s);Sunny;80;10AM;Bar;1d;Female;31;Single;0;Bachelors degree;Sales & Related;$25000 - $37499;4~8;1~3;1~3;4~8;1~3;1;0;0;0;1;1
1192;Home;Kid(s);Snowy;30;10PM;Restaurant(20-50);2h;Female;31;Married partner;1;Associates degree;Unemployed;$37500 - $49999;never;1~3;1~3;1~3;1~3;1;1;0;0;1;0
1193;No Urgent Place;Partner;Sunny;30;10AM;Bar;1d;Male;26;Unmarried partner;0;Bachelors degree;Management;$25000 - $37499;1~3;never;4~8;never;1~3;1;1;0;0;1;1
1194;No Urgent Place;Kid(s);Sunny;80;10AM;Carry out & Take away;1d;Male;26;Married partner;1;Some college - no degree;Computer & Mathematical;$50000 - $62499;never;1~3;1~3;less1;1~3;1;1;0;0;1;0
1195;No Urgent Place;Friend(s);Sunny;80;6PM;Coffee House;2h;Male;36;Single;0;Bachelors degree;Business & Financial;$100000 or More;less1;1~3;gt8;gt8;1~3;1;0;0;0;1;0
1196;No Urgent Place;Kid(s);Sunny;55;2PM;Restaurant(<20);1d;Female;36;Married partner;1;Graduate degree (Masters or Doctorate);Healthcare Practitioners & Technical;$87500 - $99999;less1;less1;1~3;4~8;less1;1;1;0;0;1;1
1197;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);2h;Female;26;Single;0;Bachelors degree;Unemployed;$25000 - $37499;never;less1;1~3;4~8;never;1;1;0;0;1;1
1198;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Female;50plus;Widowed;1;High School Graduate;Retired;$12500 - $24999;never;less1;1~3;4~8;less1;1;0;0;0;1;1
1199;Home;Alone;Snowy;30;6PM;Coffee House;1d;Male;21;Single;0;Associates degree;Computer & Mathematical;$37500 - $49999;never;less1;1~3;less1;less1;1;1;0;0;1;0
1200;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Female;31;Married partner;1;Some college - no degree;Education&Training&Library;$50000 - $62499;less1;1~3;4~8;4~8;less1;1;0;0;0;1;1
1201;Work;Alone;Sunny;80;7AM;Restaurant(20-50);2h;Male;50plus;Married partner;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$25000 - $37499;less1;1~3;1~3;1~3;less1;1;0;0;1;0;1
1202;Home;Kid(s);Sunny;30;6PM;Bar;2h;Female;26;Married partner;1;Bachelors degree;Arts Design Entertainment Sports & Media;$50000 - $62499;never;never;less1;less1;less1;1;1;0;0;1;0
1203;Home;Partner;Sunny;30;10PM;Restaurant(<20);1d;Female;31;Unmarried partner;0;Graduate degree (Masters or Doctorate);Computer & Mathematical;$50000 - $62499;less1;1~3;less1;1~3;less1;1;0;0;1;0;1
1204;No Urgent Place;Alone;Sunny;30;10AM;Carry out & Take away;1d;Male;21;Single;0;Bachelors degree;Protective Service;$25000 - $37499;never;never;gt8;less1;less1;1;1;0;0;1;1
1205;No Urgent Place;Alone;Sunny;80;2PM;Restaurant(<20);2h;Female;36;Divorced;1;Graduate degree (Masters or Doctorate);Student;$12500 - $24999;never;gt8;gt8;gt8;1~3;1;1;0;0;1;0
1206;Home;Alone;Snowy;30;10PM;Restaurant(20-50);2h;Female;41;Married partner;1;Associates degree;Education&Training&Library;$62500 - $74999;never;less1;less1;less1;less1;1;0;0;0;1;0
1207;Home;Alone;Sunny;80;10PM;Restaurant(<20);2h;Male;below21;Unmarried partner;0;Some college - no degree;Student;$12500 - $24999;less1;gt8;4~8;1~3;less1;1;0;0;1;0;0
1208;No Urgent Place;Alone;Sunny;55;2PM;Restaurant(<20);1d;Female;41;Married partner;1;Graduate degree (Masters or Doctorate);Computer & Mathematical;$75000 - $87499;less1;gt8;4~8;gt8;less1;1;0;0;0;1;1
1209;Home;Alone;Snowy;30;6PM;Coffee House;1d;Female;31;Married partner;0;Some college - no degree;Computer & Mathematical;$100000 or More;less1;less1;gt8;4~8;less1;1;1;0;0;1;0
1210;Work;Alone;Rainy;55;7AM;Carry out & Take away;1d;Female;36;Married partner;1;Bachelors degree;Education&Training&Library;$37500 - $49999;less1;;1~3;1~3;1~3;1;0;0;0;1;1
1211;Home;Alone;Sunny;80;6PM;Coffee House;2h;Female;21;Unmarried partner;0;Graduate degree (Masters or Doctorate);Student;$25000 - $37499;less1;4~8;1~3;;less1;1;0;0;0;1;1
1212;Work;Alone;Snowy;30;7AM;Restaurant(20-50);1d;Male;36;Married partner;0;Associates degree;Management;$100000 or More;1~3;1~3;1~3;1~3;1~3;1;1;1;0;1;1
1213;Work;Alone;Rainy;55;7AM;Restaurant(20-50);1d;Female;50plus;Divorced;1;Bachelors degree;Retired;Less than $12500;never;4~8;gt8;gt8;less1;1;1;1;0;1;1
1214;No Urgent Place;Friend(s);Sunny;55;2PM;Coffee House;2h;Male;26;Unmarried partner;0;Bachelors degree;Student;$50000 - $62499;1~3;gt8;4~8;1~3;less1;1;0;0;0;1;0
1215;Home;Alone;Sunny;55;6PM;Bar;1d;Male;50plus;Single;0;Some college - no degree;Office & Administrative Support;$12500 - $24999;1~3;1~3;less1;1~3;less1;1;0;0;1;0;1
1216;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;1d;Female;26;Single;0;Bachelors degree;Office & Administrative Support;$87500 - $99999;gt8;less1;1~3;1~3;1~3;1;1;0;0;1;0
1217;Home;Alone;Snowy;30;10PM;Restaurant(20-50);2h;Male;26;Married partner;0;Bachelors degree;Education&Training&Library;$37500 - $49999;never;;1~3;1~3;less1;1;0;0;0;1;0
1218;Home;Alone;Rainy;55;10PM;Coffee House;2h;Male;31;Married partner;1;Some college - no degree;Computer & Mathematical;$37500 - $49999;never;never;1~3;1~3;1~3;1;0;0;1;0;0
1219;No Urgent Place;Friend(s);Rainy;55;10PM;Bar;2h;Male;26;Single;0;Bachelors degree;Food Preparation & Serving Related;$50000 - $62499;4~8;1~3;4~8;1~3;4~8;1;1;0;0;1;1
1220;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Female;46;Married partner;1;Some college - no degree;Sales & Related;$25000 - $37499;less1;less1;1~3;less1;never;1;1;0;0;1;1
1221;No Urgent Place;Kid(s);Sunny;80;10AM;Coffee House;1d;Female;31;Married partner;1;Bachelors degree;Unemployed;$37500 - $49999;less1;4~8;4~8;gt8;1~3;1;0;0;0;1;1
1222;Work;Alone;Snowy;30;7AM;Restaurant(<20);2h;Female;41;Married partner;1;Bachelors degree;Personal Care & Service;$100000 or More;1~3;less1;less1;1~3;1~3;1;1;1;0;1;0
1223;Home;Partner;Rainy;55;6PM;Carry out & Take away;1d;Female;41;Married partner;0;Some college - no degree;Arts Design Entertainment Sports & Media;$87500 - $99999;1~3;1~3;4~8;4~8;1~3;1;0;0;1;0;1
1224;No Urgent Place;Friend(s);Sunny;55;2PM;Coffee House;2h;Male;26;Single;0;Some college - no degree;Unemployed;$87500 - $99999;never;1~3;4~8;less1;never;1;0;0;0;1;1
1225;No Urgent Place;Friend(s);Sunny;30;10PM;Restaurant(<20);2h;Female;41;Married partner;1;Bachelors degree;Personal Care & Service;$100000 or More;1~3;less1;less1;1~3;1~3;1;0;0;0;1;0
1226;No Urgent Place;Alone;Rainy;55;10AM;Bar;1d;Male;21;Unmarried partner;0;High School Graduate;Food Preparation & Serving Related;$12500 - $24999;1~3;never;gt8;4~8;1~3;1;1;0;0;1;0
1227;Home;Alone;Sunny;80;6PM;Restaurant(<20);2h;Male;21;Unmarried partner;0;Some college - no degree;Student;Less than $12500;less1;1~3;4~8;4~8;never;1;0;0;1;0;1
1228;No Urgent Place;Kid(s);Sunny;55;6PM;Coffee House;2h;Female;26;Married partner;1;Some college - no degree;Unemployed;$62500 - $74999;never;less1;gt8;4~8;never;1;1;0;0;1;0
1229;No Urgent Place;Friend(s);Sunny;55;2PM;Coffee House;2h;Female;26;Single;0;Associates degree;Unemployed;Less than $12500;1~3;less1;4~8;less1;4~8;1;0;0;0;1;0
1230;No Urgent Place;Friend(s);Snowy;30;10AM;Carry out & Take away;1d;Female;26;Married partner;0;Associates degree;Unemployed;$37500 - $49999;less1;1~3;1~3;1~3;1~3;1;1;0;0;1;1
1231;No Urgent Place;Alone;Sunny;55;2PM;Restaurant(<20);1d;Female;26;Single;0;Bachelors degree;Arts Design Entertainment Sports & Media;$12500 - $24999;never;never;1~3;less1;less1;1;0;0;0;1;1
1232;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);2h;Male;31;Married partner;1;Bachelors degree;Architecture & Engineering;$87500 - $99999;less1;less1;4~8;less1;less1;1;1;0;0;1;0
1233;No Urgent Place;Friend(s);Sunny;30;10AM;Carry out & Take away;2h;Female;26;Single;0;Bachelors degree;Office & Administrative Support;$12500 - $24999;less1;less1;less1;less1;less1;1;0;0;0;1;1
1234;No Urgent Place;Kid(s);Sunny;55;2PM;Restaurant(<20);1d;Male;50plus;Married partner;1;Bachelors degree;Retired;$87500 - $99999;never;never;less1;1~3;less1;1;1;0;0;1;0
1235;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;1d;Female;41;Married partner;1;Bachelors degree;Personal Care & Service;$100000 or More;1~3;less1;less1;1~3;1~3;1;1;0;0;1;0
1236;Home;Alone;Sunny;80;6PM;Carry out & Take away;1d;Female;50plus;Single;1;Some college - no degree;Unemployed;Less than $12500;never;1~3;less1;1~3;less1;1;0;0;0;1;1
1237;Home;Alone;Sunny;55;6PM;Bar;1d;Female;50plus;Married partner;1;Bachelors degree;Retired;$50000 - $62499;never;less1;4~8;1~3;less1;1;0;0;1;0;0
1238;Work;Alone;Snowy;30;7AM;Bar;1d;Male;50plus;Single;0;Bachelors degree;Management;$100000 or More;1~3;4~8;4~8;1~3;less1;1;1;1;0;1;1
1239;No Urgent Place;Alone;Snowy;30;10AM;Restaurant(<20);1d;Female;50plus;Divorced;1;Some college - no degree;Personal Care & Service;$12500 - $24999;never;less1;1~3;1~3;less1;1;1;0;0;1;0
1240;Work;Alone;Rainy;55;7AM;Restaurant(20-50);1d;Male;31;Single;0;Some college - no degree;Office & Administrative Support;$12500 - $24999;4~8;never;gt8;1~3;never;1;1;1;0;1;0
1241;Work;Alone;Sunny;80;7AM;Restaurant(<20);1d;Female;41;Unmarried partner;1;Some college - no degree;Unemployed;Less than $12500;never;1~3;1~3;4~8;less1;1;0;0;1;0;1
1242;Home;Alone;Sunny;80;6PM;Coffee House;1d;Male;21;Single;1;Bachelors degree;Student;$25000 - $37499;4~8;4~8;4~8;1~3;never;1;0;0;0;1;1
1243;Work;Alone;Sunny;55;7AM;Coffee House;2h;Female;41;Married partner;1;Bachelors degree;Business & Financial;$100000 or More;1~3;less1;less1;1~3;1~3;1;1;1;0;1;0
1244;No Urgent Place;Alone;Sunny;55;2PM;Restaurant(<20);1d;Male;21;Single;0;Some college - no degree;Computer & Mathematical;$25000 - $37499;less1;1~3;1~3;1~3;less1;1;0;0;0;1;1
1245;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Male;26;Single;0;Associates degree;Office & Administrative Support;$37500 - $49999;4~8;less1;1~3;4~8;1~3;1;1;0;0;1;1
1246;Work;Alone;Sunny;55;7AM;Restaurant(<20);1d;Female;31;Unmarried partner;0;Some college - no degree;Office & Administrative Support;$75000 - $87499;less1;1~3;gt8;4~8;1~3;1;0;0;0;1;1
1247;Work;Alone;Sunny;80;7AM;Restaurant(<20);1d;Female;31;Married partner;0;Some college - no degree;Computer & Mathematical;$100000 or More;less1;less1;gt8;4~8;less1;1;0;0;1;0;1
1248;Work;Alone;Snowy;30;7AM;Bar;1d;Male;36;Married partner;1;Associates degree;Computer & Mathematical;$100000 or More;never;less1;4~8;1~3;less1;1;1;1;0;1;0
1249;No Urgent Place;Partner;Sunny;80;10PM;Restaurant(<20);1d;Female;31;Married partner;0;Some college - no degree;Arts Design Entertainment Sports & Media;$100000 or More;less1;less1;gt8;4~8;less1;1;1;0;0;1;1
1250;No Urgent Place;Alone;Rainy;55;10AM;Coffee House;1d;Female;31;Divorced;1;Some college - no degree;Food Preparation & Serving Related;$12500 - $24999;less1;less1;4~8;gt8;gt8;1;1;0;0;1;1
1251;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Male;21;Unmarried partner;0;Bachelors degree;Business & Financial;$75000 - $87499;1~3;less1;4~8;1~3;1~3;1;1;1;0;1;1
1252;Work;Alone;Sunny;80;7AM;Restaurant(20-50);1d;Male;41;Married partner;1;Graduate degree (Masters or Doctorate);Management;$62500 - $74999;1~3;1~3;1~3;4~8;less1;1;1;0;0;1;0
1253;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Female;21;Married partner;1;Some college - no degree;Student;$25000 - $37499;never;gt8;1~3;gt8;1~3;1;1;0;0;1;0
1254;No Urgent Place;Kid(s);Sunny;55;6PM;Coffee House;2h;Female;36;Married partner;1;Bachelors degree;Education&Training&Library;$50000 - $62499;;1~3;4~8;1~3;1~3;1;1;0;0;1;0
1255;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);1d;Female;41;Married partner;1;Bachelors degree;Education&Training&Library;$25000 - $37499;never;1~3;1~3;1~3;1~3;1;1;0;0;1;1
1256;Work;Alone;Sunny;55;7AM;Bar;1d;Male;26;Married partner;1;Bachelors degree;Computer & Mathematical;$25000 - $37499;less1;1~3;1~3;1~3;1~3;1;1;1;0;1;0
1257;Home;Alone;Sunny;55;10PM;Carry out & Take away;1d;Female;50plus;Single;0;Graduate degree (Masters or Doctorate);Arts Design Entertainment Sports & Media;$37500 - $49999;1~3;4~8;4~8;4~8;1~3;1;1;1;0;1;1
1258;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);2h;Female;46;Married partner;1;Some college - no degree;Sales & Related;$25000 - $37499;less1;less1;1~3;less1;never;1;1;0;0;1;1
1259;Home;Alone;Sunny;55;6PM;Restaurant(20-50);1d;Female;41;Single;1;Some college - no degree;Office & Administrative Support;$25000 - $37499;less1;1~3;1~3;1~3;never;1;1;0;0;1;0
1260;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Male;36;Single;0;Some college - no degree;Computer & Mathematical;$37500 - $49999;less1;1~3;4~8;1~3;less1;1;0;0;0;1;0
1261;Home;Alone;Sunny;80;10PM;Carry out & Take away;1d;Female;below21;Unmarried partner;0;Some college - no degree;Student;$25000 - $37499;never;1~3;1~3;4~8;1~3;1;0;0;1;0;1
1262;Home;Alone;Sunny;80;10PM;Carry out & Take away;1d;Female;26;Unmarried partner;0;Bachelors degree;Education&Training&Library;$50000 - $62499;1~3;1~3;1~3;1~3;1~3;1;0;0;1;0;1
1263;No Urgent Place;Alone;Sunny;55;6PM;Coffee House;1d;Male;21;Single;0;Bachelors degree;Student;$37500 - $49999;less1;1~3;4~8;1~3;less1;1;0;0;0;1;1
1264;Home;Alone;Sunny;80;6PM;Restaurant(<20);2h;Male;below21;Single;0;Some college - no degree;Student;Less than $12500;never;less1;gt8;1~3;never;1;0;0;1;0;1
1265;Home;Alone;Rainy;55;10PM;Coffee House;2h;Male;31;Married partner;0;Bachelors degree;Sales & Related;$75000 - $87499;1~3;1~3;4~8;4~8;4~8;1;0;0;1;0;0
1266;Work;Alone;Sunny;80;7AM;Coffee House;1d;Male;21;Single;0;Bachelors degree;Protective Service;$25000 - $37499;never;never;gt8;less1;less1;1;0;0;1;0;0
1267;No Urgent Place;Alone;Rainy;55;10AM;Bar;1d;Female;below21;Unmarried partner;0;High School Graduate;Student;Less than $12500;never;4~8;1~3;4~8;less1;1;1;0;0;1;0
1268;Home;Alone;Rainy;55;6PM;Bar;1d;Male;26;Married partner;0;Graduate degree (Masters or Doctorate);Community & Social Services;$100000 or More;less1;gt8;4~8;gt8;1~3;1;1;1;0;1;0
1269;Home;Partner;Rainy;55;6PM;Carry out & Take away;1d;Female;26;Married partner;0;Graduate degree (Masters or Doctorate);Student;$87500 - $99999;never;4~8;less1;4~8;less1;1;0;0;1;0;0
1270;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);1d;Female;36;Single;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$37500 - $49999;less1;never;4~8;1~3;less1;1;1;0;0;1;1
1271;No Urgent Place;Friend(s);Snowy;30;10PM;Carry out & Take away;1d;Male;21;Unmarried partner;0;High School Graduate;Sales & Related;$37500 - $49999;never;less1;4~8;4~8;less1;1;1;0;0;1;1
1272;Home;Alone;Sunny;80;6PM;Coffee House;2h;Female;26;Married partner;0;Graduate degree (Masters or Doctorate);Unemployed;$62500 - $74999;4~8;1~3;4~8;4~8;1~3;1;1;1;0;1;0
1273;No Urgent Place;Alone;Sunny;55;2PM;Restaurant(<20);1d;Male;41;Married partner;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$50000 - $62499;less1;4~8;4~8;1~3;less1;1;0;0;0;1;1
1274;Home;Alone;Sunny;80;6PM;Coffee House;1d;Female;31;Married partner;1;Some college - no degree;Arts Design Entertainment Sports & Media;$12500 - $24999;never;1~3;4~8;4~8;never;1;0;0;1;0;1
1275;No Urgent Place;Partner;Sunny;80;10PM;Restaurant(<20);1d;Female;26;Married partner;0;Bachelors degree;Unemployed;$87500 - $99999;1~3;less1;;less1;less1;1;1;0;0;1;0
1276;Home;Alone;Sunny;30;6PM;Carry out & Take away;2h;Male;36;Single;0;Some college - no degree;Construction & Extraction;$50000 - $62499;never;never;1~3;less1;less1;1;1;0;1;0;1
1277;Work;Alone;Sunny;55;7AM;Coffee House;2h;Male;21;Married partner;0;Bachelors degree;Management;$50000 - $62499;never;never;4~8;4~8;1~3;1;1;0;0;1;0
1278;Home;Alone;Rainy;55;6PM;Bar;1d;Female;50plus;Single;1;Bachelors degree;Legal;$25000 - $37499;never;less1;4~8;1~3;less1;1;1;1;0;1;0
1279;Home;Alone;Sunny;80;6PM;Coffee House;1d;Female;46;Single;0;Some college - no degree;Protective Service;$25000 - $37499;1~3;never;4~8;1~3;1~3;1;0;0;0;1;0
1280;Work;Alone;Sunny;55;7AM;Bar;1d;Female;21;Unmarried partner;0;High School Graduate;Student;$37500 - $49999;never;1~3;1~3;4~8;never;1;1;1;0;1;0
1281;No Urgent Place;Friend(s);Rainy;55;10PM;Bar;2h;Male;36;Single;0;Some college - no degree;Construction & Extraction;$50000 - $62499;never;never;1~3;less1;less1;1;1;0;0;1;0
1282;Home;Alone;Sunny;80;6PM;Coffee House;1d;Male;21;Single;0;Some college - no degree;Student;$100000 or More;less1;1~3;1~3;1~3;less1;1;0;0;0;1;0
1283;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Male;26;Single;0;Bachelors degree;Office & Administrative Support;$50000 - $62499;4~8;never;4~8;1~3;less1;1;1;0;0;1;0
1284;No Urgent Place;Kid(s);Sunny;80;10AM;Bar;1d;Female;41;Divorced;1;Bachelors degree;Arts Design Entertainment Sports & Media;$12500 - $24999;never;gt8;less1;1~3;never;1;1;0;0;1;0
1285;No Urgent Place;Partner;Rainy;55;6PM;Bar;2h;Female;21;Unmarried partner;0;Some college - no degree;Student;Less than $12500;1~3;1~3;4~8;1~3;less1;1;1;0;0;1;1
